SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABB,TEAM_NAME,INDEX,PLAY_TYPE,POSS,FREQ,FREQ_PCTL,PPP,PPP_PCTL,GP,PTS,FGM,FGA,FG_PCT,EFG_PCT,SF_FREQ,FTA_FREQ,AND1_FREQ,TOV_FREQ
2020-21,2229,Mike James,1610612751,BKN,Brooklyn Nets,1,Isolation,21,0.167,93.9,0.52,9.3,13,11,3,17,0.176,0.235,0.095,0.095,0.0,0.095
2020-21,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,1,Isolation,197,0.181,95.9,0.84,46.0,45,166,65,168,0.387,0.452,0.081,0.081,0.036,0.102
2020-21,2546,Carmelo Anthony,1610612757,POR,Portland Trail Blazers,1,Isolation,176,0.194,97.1,1.03,78.2,69,181,63,145,0.434,0.472,0.153,0.153,0.028,0.051
2020-21,101108,Chris Paul,1610612756,PHX,Phoenix Suns,1,Isolation,172,0.156,92.7,1.05,81.0,70,181,71,158,0.449,0.516,0.041,0.047,0.0,0.035
2020-21,101150,Lou Williams,1610612737,ATL,Atlanta Hawks,1,Isolation,31,0.11,84.5,0.77,31.6,24,24,8,23,0.348,0.435,0.065,0.065,0.0,0.194
2020-21,101150,Lou Williams,1610612746,LAC,LA Clippers,1,Isolation,42,0.077,62.9,0.95,66.5,42,40,12,34,0.353,0.397,0.119,0.143,0.0,0.048
2020-21,200752,Rudy Gay,1610612759,SAS,San Antonio Spurs,1,Isolation,45,0.061,51.4,0.84,46.8,63,38,15,40,0.375,0.4,0.089,0.089,0.0,0.022
2020-21,200765,Rajon Rondo,1610612737,ATL,Atlanta Hawks,1,Isolation,16,0.106,80.4,0.56,13.8,27,9,4,14,0.286,0.321,0.0,0.0,0.0,0.125
2020-21,200765,Rajon Rondo,1610612746,LAC,LA Clippers,1,Isolation,13,0.086,71.0,0.69,25.0,18,9,4,12,0.333,0.375,0.0,0.0,0.0,0.077
2020-21,200768,Kyle Lowry,1610612761,TOR,Toronto Raptors,1,Isolation,42,0.053,43.7,0.98,71.0,46,41,16,33,0.485,0.515,0.095,0.095,0.0,0.119
2020-21,200794,Paul Millsap,1610612743,DEN,Denver Nuggets,1,Isolation,18,0.037,21.6,0.83,43.3,56,15,6,12,0.5,0.5,0.111,0.111,0.0,0.222
2020-21,201142,Kevin Durant,1610612751,BKN,Brooklyn Nets,1,Isolation,116,0.141,90.6,1.18,94.0,35,137,46,88,0.523,0.608,0.129,0.155,0.043,0.129
2020-21,201143,Al Horford,1610612760,OKC,Oklahoma City Thunder,1,Isolation,25,0.063,53.9,0.88,54.400000000000006,28,22,10,20,0.5,0.55,0.0,0.0,0.0,0.2
2020-21,201144,Mike Conley,1610612762,UTA,Utah Jazz,1,Isolation,40,0.05,38.8,0.8,37.6,51,32,11,31,0.355,0.387,0.075,0.125,0.025,0.125
2020-21,201145,Jeff Green,1610612751,BKN,Brooklyn Nets,1,Isolation,22,0.034,18.8,0.91,60.1,68,20,6,17,0.353,0.412,0.227,0.227,0.045,0.045
2020-21,201565,Derrick Rose,1610612752,NYK,New York Knicks,1,Isolation,33,0.065,56.3,1.15,92.7,35,38,15,29,0.517,0.552,0.121,0.121,0.0,0.0
2020-21,201565,Derrick Rose,1610612765,DET,Detroit Pistons,1,Isolation,21,0.089,71.8,0.9,58.9,15,19,5,15,0.333,0.367,0.238,0.238,0.0,0.048
2020-21,201566,Russell Westbrook,1610612764,WAS,Washington Wizards,1,Isolation,415,0.24,99.2,0.78,33.5,65,325,124,314,0.395,0.408,0.135,0.137,0.029,0.135
2020-21,201568,Danilo Gallinari,1610612737,ATL,Atlanta Hawks,1,Isolation,58,0.099,76.3,0.88,54.0,51,51,19,49,0.388,0.418,0.086,0.086,0.0,0.069
