SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABB,TEAM_NAME,INDEX,PLAY_TYPE,POSS,FREQ,FREQ_PCTL,PPP,PPP_PCTL,GP,PTS,FGM,FGA,FG_PCT,EFG_PCT,SF_FREQ,FTA_FREQ,AND1_FREQ,TOV_FREQ
2016-17,1713,Vince Carter,1610612763,MEM,Memphis Grizzlies,1,Isolation,24,0.04,23.3,0.58,15.6,73,14,4,19,0.211,0.263,0.125,0.125,0.0,0.083
2016-17,1717,Dirk Nowitzki,1610612742,DAL,Dallas Mavericks,1,Isolation,28,0.036,20.9,0.93,68.8,54,26,11,23,0.478,0.478,0.107,0.107,0.036,0.107
2016-17,1938,Manu Ginobili,1610612759,SAS,San Antonio Spurs,1,Isolation,33,0.057,39.7,0.73,33.300000000000004,69,24,8,28,0.286,0.321,0.0,0.091,0.0,0.061
2016-17,2037,Jamal Crawford,1610612746,LAC,LA Clippers,1,Isolation,274,0.253,100.0,0.92,68.10000000000001,82,253,94,232,0.405,0.446,0.099,0.106,0.018,0.066
2016-17,2200,Pau Gasol,1610612759,SAS,San Antonio Spurs,1,Isolation,15,0.02,3.8,1.27,98.0,64,19,8,11,0.727,0.727,0.2,0.267,0.0,0.0
2016-17,2207,Joe Johnson,1610612762,UTA,Utah Jazz,1,Isolation,111,0.153,93.0,0.79,43.1,78,88,39,104,0.375,0.399,0.036,0.036,0.009,0.036
2016-17,2210,Richard Jefferson,1610612739,CLE,Cleveland Cavaliers,1,Isolation,17,0.039,22.0,0.88,59.7,79,15,6,16,0.375,0.438,0.059,0.059,0.0,0.0
2016-17,2216,Zach Randolph,1610612763,MEM,Memphis Grizzlies,1,Isolation,152,0.132,88.9,0.68,25.1,73,103,44,123,0.358,0.358,0.079,0.079,0.007,0.118
2016-17,2225,Tony Parker,1610612759,SAS,San Antonio Spurs,1,Isolation,46,0.065,49.5,0.72,31.6,63,33,14,36,0.389,0.389,0.065,0.087,0.022,0.152
2016-17,2403,Nene,1610612745,HOU,Houston Rockets,1,Isolation,31,0.056,39.0,0.71,30.5,67,22,9,26,0.346,0.346,0.097,0.129,0.032,0.065
