SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABB,TEAM_NAME,INDEX,PLAY_TYPE,POSS,FREQ,FREQ_PCTL,PPP,PPP_PCTL,GP,PTS,FGM,FGA,FG_PCT,EFG_PCT,SF_FREQ,FTA_FREQ,AND1_FREQ,TOV_FREQ
2017-18,1713,Vince Carter,1610612758,SAC,Sacramento Kings,1,Isolation,10,0.03,11.6,0.6,10.1,58,6,3,9,0.333,0.333,0.0,0.0,0.0,0.1
2017-18,1717,Dirk Nowitzki,1610612742,DAL,Dallas Mavericks,1,Isolation,27,0.032,14.1,0.81,41.1,77,22,10,26,0.385,0.385,0.0,0.037,0.0,0.0
2017-18,1938,Manu Ginobili,1610612759,SAS,San Antonio Spurs,1,Isolation,22,0.035,18.1,0.68,18.8,65,15,6,21,0.286,0.333,0.045,0.045,0.045,0.045
2017-18,2037,Jamal Crawford,1610612750,MIN,Minnesota Timberwolves,1,Isolation,174,0.198,96.7,0.87,55.00000000000001,80,152,62,156,0.397,0.423,0.063,0.063,0.011,0.052
2017-18,2200,Pau Gasol,1610612759,SAS,San Antonio Spurs,1,Isolation,19,0.023,4.7,0.58,8.200000000000001,77,11,4,15,0.267,0.267,0.105,0.105,0.0,0.105
2017-18,2207,Joe Johnson,1610612745,HOU,Houston Rockets,1,Isolation,19,0.118,83.3,0.53,5.3,23,10,5,16,0.313,0.313,0.0,0.0,0.0,0.158
2017-18,2207,Joe Johnson,1610612762,UTA,Utah Jazz,1,Isolation,38,0.143,90.6,0.79,36.5,32,30,15,31,0.484,0.484,0.0,0.0,0.0,0.184
2017-18,2216,Zach Randolph,1610612758,SAC,Sacramento Kings,1,Isolation,99,0.107,79.0,1.02,82.6,60,101,44,88,0.5,0.5,0.091,0.091,0.03,0.051
2017-18,2225,Tony Parker,1610612759,SAS,San Antonio Spurs,1,Isolation,31,0.063,47.8,0.74,29.1,55,23,10,23,0.435,0.435,0.065,0.065,0.0,0.194
2017-18,2403,Nene,1610612745,HOU,Houston Rockets,1,Isolation,19,0.058,40.9,1.05,86.5,52,20,7,13,0.538,0.538,0.158,0.211,0.0,0.105
2017-18,2544,LeBron James,1610612739,CLE,Cleveland Cavaliers,1,Isolation,521,0.244,98.9,0.96,70.89999999999999,82,500,196,440,0.445,0.499,0.086,0.098,0.025,0.083
2017-18,2546,Carmelo Anthony,1610612760,OKC,Oklahoma City Thunder,1,Isolation,245,0.181,95.7,0.89,58.2,78,218,86,213,0.404,0.423,0.114,0.118,0.029,0.041
2017-18,2548,Dwyane Wade,1610612739,CLE,Cleveland Cavaliers,1,Isolation,67,0.115,81.9,0.73,27.3,46,49,19,57,0.333,0.333,0.134,0.134,0.06,0.075
2017-18,2548,Dwyane Wade,1610612748,MIA,Miami Heat,1,Isolation,22,0.069,55.1,0.59,9.3,21,13,4,18,0.222,0.278,0.091,0.091,0.0,0.091
2017-18,2730,Dwight Howard,1610612766,CHA,Charlotte Hornets,1,Isolation,55,0.04,24.3,0.91,63.2,81,50,19,38,0.5,0.5,0.2,0.218,0.036,0.127
2017-18,2733,Shaun Livingston,1610612744,GSW,Golden State Warriors,1,Isolation,38,0.09,70.3,0.97,73.3,72,37,15,34,0.441,0.441,0.105,0.105,0.0,0.0
2017-18,2734,Devin Harris,1610612742,DAL,Dallas Mavericks,1,Isolation,12,0.032,14.1,1.0,80.80000000000001,44,12,2,8,0.25,0.25,0.25,0.25,0.0,0.083
2017-18,2738,Andre Iguodala,1610612744,GSW,Golden State Warriors,1,Isolation,23,0.054,36.2,0.61,12.8,64,14,4,16,0.25,0.25,0.087,0.13,0.0,0.174
2017-18,2747,JR Smith,1610612739,CLE,Cleveland Cavaliers,1,Isolation,69,0.099,75.7,0.93,65.60000000000001,80,64,28,68,0.412,0.463,0.014,0.014,0.014,0.014
2017-18,2749,Jameer Nelson,1610612740,NOP,New Orleans Pelicans,1,Isolation,17,0.063,47.8,1.24,96.1,43,21,8,16,0.5,0.594,0.0,0.059,0.0,0.0
2017-18,2772,Trevor Ariza,1610612745,HOU,Houston Rockets,1,Isolation,16,0.022,3.6,0.5,3.2,67,8,3,13,0.231,0.269,0.063,0.063,0.0,0.125
2017-18,101108,Chris Paul,1610612745,HOU,Houston Rockets,1,Isolation,297,0.293,99.6,1.1,90.8,58,327,116,270,0.43,0.537,0.054,0.067,0.017,0.04
2017-18,101109,Raymond Felton,1610612760,OKC,Oklahoma City Thunder,1,Isolation,70,0.109,79.7,0.6,10.1,82,42,19,60,0.317,0.35,0.014,0.0,0.0,0.129
2017-18,101123,Gerald Green,1610612745,HOU,Houston Rockets,1,Isolation,24,0.052,34.8,0.88,55.50000000000001,41,21,9,21,0.429,0.476,0.125,0.125,0.042,0.042
2017-18,101127,Jarrett Jack,1610612752,NYK,New York Knicks,1,Isolation,37,0.063,47.8,0.76,30.1,62,28,10,32,0.313,0.344,0.081,0.081,0.0,0.054
2017-18,101150,Lou Williams,1610612746,LAC,LA Clippers,1,Isolation,153,0.086,67.4,0.93,66.0,79,142,45,115,0.391,0.443,0.124,0.144,0.007,0.111
2017-18,200746,LaMarcus Aldridge,1610612759,SAS,San Antonio Spurs,1,Isolation,50,0.031,13.4,0.72,24.1,75,36,12,37,0.324,0.324,0.16,0.16,0.0,0.1
2017-18,200752,Rudy Gay,1610612759,SAS,San Antonio Spurs,1,Isolation,98,0.145,92.0,0.97,72.0,57,95,38,84,0.452,0.452,0.133,0.133,0.041,0.051
2017-18,200765,Rajon Rondo,1610612740,NOP,New Orleans Pelicans,1,Isolation,36,0.054,36.2,1.03,83.3,66,37,16,34,0.471,0.529,0.056,0.056,0.028,0.028
2017-18,200768,Kyle Lowry,1610612761,TOR,Toronto Raptors,1,Isolation,75,0.061,44.6,1.15,92.2,78,86,24,56,0.429,0.571,0.173,0.173,0.027,0.107
2017-18,200794,Paul Millsap,1610612743,DEN,Denver Nuggets,1,Isolation,51,0.088,68.8,0.8,38.7,38,41,18,41,0.439,0.439,0.078,0.098,0.0,0.098
2017-18,200826,J.J. Barea,1610612742,DAL,Dallas Mavericks,1,Isolation,65,0.074,59.1,0.63,13.5,69,41,16,56,0.286,0.321,0.062,0.077,0.015,0.077
2017-18,201142,Kevin Durant,1610612744,GSW,Golden State Warriors,1,Isolation,247,0.155,93.1,1.06,86.9,68,261,92,206,0.447,0.502,0.105,0.121,0.02,0.065
2017-18,201143,Al Horford,1610612738,BOS,Boston Celtics,1,Isolation,33,0.035,18.1,1.12,91.5,72,37,14,29,0.483,0.5,0.121,0.152,0.03,0.0
2017-18,201144,Mike Conley,1610612763,MEM,Memphis Grizzlies,1,Isolation,32,0.151,92.4,0.72,23.8,12,23,7,24,0.292,0.333,0.125,0.156,0.031,0.125
2017-18,201145,Jeff Green,1610612739,CLE,Cleveland Cavaliers,1,Isolation,60,0.075,60.1,0.85,50.9,78,51,20,53,0.377,0.387,0.117,0.117,0.033,0.033
2017-18,201156,Nick Young,1610612744,GSW,Golden State Warriors,1,Isolation,22,0.04,24.3,0.82,42.0,80,18,7,20,0.35,0.425,0.045,0.045,0.045,0.091
2017-18,201163,Wilson Chandler,1610612743,DEN,Denver Nuggets,1,Isolation,80,0.104,77.9,0.74,28.7,74,59,24,62,0.387,0.395,0.1,0.1,0.0,0.125
2017-18,201188,Marc Gasol,1610612763,MEM,Memphis Grizzlies,1,Isolation,71,0.052,34.8,0.79,36.2,73,56,22,58,0.379,0.379,0.099,0.099,0.0,0.085
2017-18,201563,Michael Beasley,1610612752,NYK,New York Knicks,1,Isolation,210,0.208,97.1,0.92,65.2,74,194,80,175,0.457,0.466,0.11,0.114,0.033,0.086
2017-18,201565,Derrick Rose,1610612739,CLE,Cleveland Cavaliers,1,Isolation,11,0.061,44.6,0.64,14.2,16,7,3,7,0.429,0.429,0.091,0.091,0.0,0.273
