SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABB,TEAM_NAME,INDEX,PLAY_TYPE,POSS,FREQ,FREQ_PCTL,PPP,PPP_PCTL,GP,PTS,FGM,FGA,FG_PCT,EFG_PCT,SF_FREQ,FTA_FREQ,AND1_FREQ,TOV_FREQ
2019-20,1713,Vince Carter,1610612737,ATL,Atlanta Hawks,1,Isolation,10,0.029,12.8,1.1,89.8,60,11,3,8,0.375,0.438,0.1,0.2,0.0,0.0
2019-20,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,1,Isolation,300,0.175,97.1,0.9,59.3,67,270,97,247,0.393,0.457,0.113,0.133,0.043,0.087
2019-20,2546,Carmelo Anthony,1610612757,POR,Portland Trail Blazers,1,Isolation,120,0.126,88.8,0.86,51.0,58,103,38,102,0.373,0.377,0.125,0.125,0.025,0.05
2019-20,101108,Chris Paul,1610612760,OKC,Oklahoma City Thunder,1,Isolation,209,0.179,97.9,0.99,75.3,70,207,79,190,0.416,0.492,0.043,0.067,0.024,0.048
2019-20,101150,Lou Williams,1610612746,LAC,LA Clippers,1,Isolation,88,0.07,61.6,0.77,29.5,65,68,24,71,0.338,0.373,0.102,0.114,0.023,0.102
2019-20,200746,LaMarcus Aldridge,1610612759,SAS,San Antonio Spurs,1,Isolation,21,0.022,5.0,0.71,21.1,53,15,6,18,0.333,0.333,0.143,0.143,0.048,0.048
2019-20,200752,Rudy Gay,1610612759,SAS,San Antonio Spurs,1,Isolation,79,0.106,83.5,0.78,32.800000000000004,67,62,24,63,0.381,0.389,0.101,0.101,0.0,0.101
2019-20,200755,JJ Redick,1610612740,NOP,New Orleans Pelicans,1,Isolation,16,0.021,3.7,1.06,86.2,60,17,4,7,0.571,0.714,0.313,0.313,0.063,0.25
2019-20,200765,Rajon Rondo,1610612747,LAL,Los Angeles Lakers,1,Isolation,40,0.091,73.6,0.78,30.8,48,31,12,34,0.353,0.397,0.05,0.075,0.0,0.075
2019-20,200768,Kyle Lowry,1610612761,TOR,Toronto Raptors,1,Isolation,68,0.061,50.4,0.87,52.6,58,59,19,51,0.373,0.412,0.103,0.147,0.029,0.132
2019-20,200794,Paul Millsap,1610612743,DEN,Denver Nuggets,1,Isolation,36,0.063,53.7,0.78,31.7,51,28,9,24,0.375,0.375,0.194,0.194,0.0,0.139
2019-20,200826,J.J. Barea,1610612742,DAL,Dallas Mavericks,1,Isolation,32,0.125,88.4,0.72,21.9,29,23,9,28,0.321,0.339,0.063,0.063,0.0,0.063
2019-20,201143,Al Horford,1610612755,PHI,Philadelphia 76ers,1,Isolation,25,0.03,13.2,0.64,14.2,67,16,7,24,0.292,0.313,0.04,0.04,0.0,0.0
2019-20,201144,Mike Conley,1610612762,UTA,Utah Jazz,1,Isolation,44,0.061,50.4,1.09,89.1,47,48,18,34,0.529,0.647,0.091,0.091,0.045,0.182
2019-20,201565,Derrick Rose,1610612765,DET,Detroit Pistons,1,Isolation,78,0.084,70.7,1.08,87.8,50,84,33,67,0.493,0.5,0.141,0.154,0.064,0.051
2019-20,201566,Russell Westbrook,1610612745,HOU,Houston Rockets,1,Isolation,424,0.25,99.6,0.87,52.2,57,367,147,351,0.419,0.433,0.111,0.12,0.033,0.085
2019-20,201567,Kevin Love,1610612739,CLE,Cleveland Cavaliers,1,Isolation,50,0.052,41.7,0.86,51.4,56,43,17,42,0.405,0.405,0.12,0.12,0.02,0.04
2019-20,201568,Danilo Gallinari,1610612760,OKC,Oklahoma City Thunder,1,Isolation,98,0.097,79.3,0.97,72.89999999999999,62,95,28,78,0.359,0.442,0.133,0.143,0.02,0.082
2019-20,201569,Eric Gordon,1610612745,HOU,Houston Rockets,1,Isolation,49,0.09,72.7,1.02,82.19999999999999,36,50,18,36,0.5,0.556,0.163,0.163,0.041,0.143
2019-20,201571,D.J. Augustin,1610612753,ORL,Orlando Magic,1,Isolation,37,0.061,50.4,0.59,10.5,57,22,4,25,0.16,0.22,0.135,0.162,0.027,0.189
2019-20,201572,Brook Lopez,1610612749,MIL,Milwaukee Bucks,1,Isolation,16,0.02,2.9,0.88,55.50000000000001,68,14,3,10,0.3,0.3,0.25,0.25,0.0,0.125
2019-20,201580,JaVale McGee,1610612747,LAL,Los Angeles Lakers,1,Isolation,11,0.028,12.0,0.55,8.5,68,6,3,8,0.375,0.375,0.0,0.0,0.0,0.273
2019-20,201584,Courtney Lee,1610612742,DAL,Dallas Mavericks,1,Isolation,11,0.115,86.4,1.73,100.0,24,19,9,11,0.818,0.864,0.0,0.0,0.0,0.0
2019-20,201588,George Hill,1610612749,MIL,Milwaukee Bucks,1,Isolation,28,0.059,47.1,0.96,72.39999999999999,59,27,10,26,0.385,0.519,0.0,0.0,0.0,0.071
2019-20,201609,Goran Dragic,1610612748,MIA,Miami Heat,1,Isolation,47,0.048,36.8,1.13,91.9,59,53,18,37,0.486,0.595,0.128,0.128,0.021,0.106
2019-20,201933,Blake Griffin,1610612765,DET,Detroit Pistons,1,Isolation,31,0.093,75.6,0.81,38.9,18,25,7,25,0.28,0.36,0.129,0.161,0.032,0.065
2019-20,201935,James Harden,1610612745,HOU,Houston Rockets,1,Isolation,956,0.45,100.0,1.12,91.5,68,1075,312,766,0.407,0.523,0.147,0.161,0.037,0.073
